frequencia_Hz,psd_modulante,psd_PM,psd_FM,psd_AM_DSB
6542.968749999999,4.714494667131037e-17,8.09512211444951e-12,9.068218177878849e-12,2.9601221358630326e-11
6640.624999999999,4.3113436903433243e-17,5.581064908787735e-12,6.185638788037286e-12,2.028108501662004e-11
6738.281249999999,3.9478668454768605e-17,3.9327114438496174e-12,4.319710414073771e-12,1.4215995420293134e-11
6835.937499999999,3.619661550492264e-17,2.8254902801098768e-12,3.0798359447329517e-12,1.0167827842390473e-11
6933.593749999999,3.322867608646037e-17,2.0655456381559616e-12,2.2366800131683665e-12,7.404438855395723e-12
7031.249999999999,3.0540939227354257e-17,1.5337730082891648e-12,1.6513694453504827e-12,5.479814993488297e-12
7128.906249999999,2.810355972952286e-17,1.1551191783166477e-12,1.2374762387230533e-12,4.114954651777747e-12
7226.562499999999,2.589022341161521e-17,8.81199597292606e-13,9.398798724161113e-13,3.1311339691320265e-12
7324.218749999999,2.387768867186654e-17,6.801721417190185e-13,7.226446811575327e-13,2.4113858186024986e-12
7421.874999999999,2.2045392841462236e-17,5.306844924574346e-13,5.618716658484167e-13,1.8776584359912854e-12
7519.531249999999,2.0375113262218795e-17,4.1817095155641804e-13,4.413766438659003e-13,1.4769380200875874e-12
7617.187499999999,1.8850674936057415e-17,3.3253795507649046e-13,3.5001722498626243e-13,1.1726289404947198e-12
7714.843749999999,1.7457697963428513e-17,2.6668903371249366e-13,2.800050056921553e-13,9.390904230216892e-13
7812.499999999999,1.6183378784468205e-17,2.1556774759110778e-13,2.2581948077740744e-13,7.581091066138202e-13
7910.156249999999,1.5016300342267853e-17,1.7552634499788422e-13,1.8349688410528583e-13,6.165823431598936e-13
8007.812499999999,1.3946267292472862e-17,1.4390285735306575e-13,1.5015699151908767e-13,5.049725134346962e-13
8105.468749999999,1.2964162282881078e-17,1.1873376369228126e-13,1.2368355034374715e-13,4.1626059318565984e-13
8203.124999999998,1.2061820778598475e-17,9.855615922957236e-14,1.0250546095503824e-13,3.4522803354135357e-13
8300.781249999998,1.1231921673538504e-17,8.226985879636686e-14,8.544500922352742e-14,2.8795768306631726e-13
8398.437499999998,1.046789151748838e-17,6.904015671137921e-14,7.161133650143335e-14,2.41482810365146e-13
8496.093749999998,9.763820594481054e-18,5.822851196968688e-14,6.032481869299246e-14,2.0353754023798128e-13
8593.749999999998,9.114389246461464e-18,4.9342631479299164e-14,5.106281884463873e-14,1.723775432840106e-13
8691.406249999998,8.514803218808491e-18,4.200017838169882e-14,4.342038702670235e-14,1.4664994224724356e-13
8789.062499999998,7.960736340528923e-18,3.5902145824171786e-14,3.708152119750548e-14,1.2529805191588676e-13
8886.718749999998,7.448280698708625e-18,3.08131551283336e-14,3.179796753949405e-14,1.0749101903971748e-13
8984.374999999998,6.973901699830192e-18,2.6546759127770435e-14,2.7373450602087614e-14,9.257142442880747e-14
9082.031249999998,6.534399221924701e-18,2.2954395288197514e-14,2.3651851188677095e-14,8.001595835906274e-14
9179.687499999998,6.126872585053514e-18,1.9917021379419488e-14,2.0508277223547397e-14,6.940568848480951e-14
9277.343749999998,5.748689818077269e-18,1.7338738506846702e-14,1.78422716159247e-14,6.040342279600256e-14
9374.999999999998,5.397460265583583e-18,1.514189758907954e-14,1.5572611409085646e-14,5.2736359812806434e-14
9472.656249999998,5.071010189434588e-18,1.3263320185026518e-14,1.3633299427552646e-14,4.618270587632705e-14
9570.312499999998,4.767361242683482e-18,1.1651362881801643e-14,1.1970456465313827e-14,4.05612908605968e-14
9667.968749999998,4.484711001837052e-18,1.0263623626419352e-14,1.0539897351214041e-14,3.572346296999374e-14
9765.624999999998,4.2214157678426965e-18,9.065140025194548e-15,9.30523042670494e-15,3.154672856895621e-14
9863.281249999998,3.9759753180544475e-18,8.026966600102079e-15,8.23635850724768e-15,2.7929733864029263e-14
9960.937499999998,3.747018951033401e-18,7.125045798583712e-15,7.308291845615087e-15,2.4788286337766508e-14
10058.593749999998,3.533293251042361e-18,6.339307615576144e-15,6.500202364601582e-15,2.2052184660668508e-14
10156.249999999998,3.3336510868428535e-18,5.6529485508881035e-15,5.794667246949331e-15,1.9662681154234568e-14
10253.906249999998,3.1470416091947737e-18,5.051851182081685e-15,5.1770611343235695e-15,1.7570441799140903e-14
10351.562499999998,2.972501322111879e-18,4.524115488618586e-15,4.6350655549902795e-15,1.5733898763375455e-14
10449.218749999998,2.809146291584633e-18,4.059678357341924e-15,4.1582714602753095e-15,1.4117914992971971e-14
10546.874999999998,2.6561646109634978e-18,3.65000389686865e-15,3.737855686780676e-15,1.2692696957928596e-14
10644.531249999998,2.5128102014507907e-18,3.2878300450657977e-15,3.3663169409694797e-15,1.1432906451411782e-14
10742.187499999998,2.3783967657649685e-18,2.9669608336907254e-15,3.037259178561134e-15,1.0316931972631879e-14
10839.843749999998,2.25229261457808e-18,2.6820952372198767e-15,2.7452135081604628e-15,9.326289592082693e-15
10937.499999999998,2.133915773455734e-18,2.4286857839469634e-15,2.4854912049806858e-15,8.445127210987608e-15
11035.156249999998,2.0227297782419435e-18,2.202821355544079e-15,2.2540618002740064e-15,7.65981518235602e-15
11132.812499999998,1.918239739129767e-18,2.0011297422273526e-15,2.0474520582051137e-15,6.958604643893256e-15
11230.468749999998,1.8199886835368256e-18,1.8206964142676054e-15,1.8626615124812708e-15,6.3313437887960296e-15
11328.124999999998,1.7275544823704726e-18,1.658996411033731e-15,1.6970920771931658e-15,5.769239940306145e-15
11425.781249999998,1.6405468812631976e-18,1.5138374237755875e-15,1.548488882710155e-15,5.26466022195574e-15
11523.437499999998,1.5586047863190035e-18,1.3833117280576628e-15,1.4148905937106407e-15,4.8109640884807324e-15
11621.093749999998,1.4813940360114009e-18,1.2657557148577304e-15,1.2945876077326089e-15,4.402361763779178e-15
11718.749999999998,1.4086048418820878e-18,1.159715705764238e-15,1.1860865145220536e-15,4.0337949260536755e-15
11816.406249999998,1.339950306974084e-18,1.0639188524016649e-15,1.0880802531514647e-15,3.700835296298521e-15
11914.062499999998,1.275164193596695e-18,9.77248514974536e-16,9.99422512493292e-16,3.399598630372259e-15
12011.718749999998,1.2139993600259374e-18,8.987232555154811e-16,9.191061051403675e-16,3.126671402389825e-15
12109.374999999998,1.1562263277222913e-18,8.274788356883455e-16,8.462444162028815e-16,2.879048217882668e-15
12207.031249999998,1.1016318986573144e-18,7.627529131112131e-16,7.800555750471957e-16,2.6540782998068835e-15
