frequencia_Hz,magnitude_PM,magnitude_FM,magnitude_AM_DSB
1530.0,4.118236272660591e-12,1.2036084908612186e-12,4.920818171901663e-13
1540.0,3.1089118311117655e-12,1.2490233824493067e-12,6.468532617631091e-13
1550.0,1.477622544574471e-12,1.4456159750016519e-12,7.848387036157082e-13
1560.0,1.1356903950660454e-12,1.302472451587644e-12,5.29934871201318e-13
1570.0,3.2377703225440357e-13,1.2956101522614553e-12,5.79999076875152e-13
1580.0,1.6034190593449709e-12,5.994960992736513e-13,4.183746374129738e-13
1590.0,1.2052346144308558e-12,8.352903112175856e-13,6.953069943015391e-13
1600.0,84.98929951892008,1.047885210260382,2.816214658132002e-13
1610.0,1.6141004129021275e-12,1.110705023466625e-12,5.244605526420229e-13
1620.0,4.91302956101251e-13,5.413068391158767e-13,6.575125829997202e-13
1630.0,1.4043731890678464e-12,1.2656806060963113e-12,8.304864994614412e-13
1640.0,1.4679665789062951e-12,1.1814343517180116e-12,1.2724503093069149e-12
1650.0,7.988992918825468e-13,9.82500303447625e-13,7.151546742361473e-13
1660.0,1.2221444419565509e-12,1.0741590947124386e-12,6.217119824800066e-13
1670.0,1.1492004510058565e-12,4.634042905988282e-13,3.643359819181832e-13
1680.0,1.5811338819799606e-12,3.748951808932275e-13,7.185163952061581e-13
1690.0,1.1926005662713106e-12,5.006151152371931e-13,6.790418846500882e-13
1700.0,322.3581236860042,13.10117684992916,3.2126491681491107e-13
1710.0,6.0409181683119736e-12,1.8365509842144597e-12,5.430734492678063e-13
1720.0,2.326186687317277e-12,2.1852766972583647e-12,1.8873901816589735e-13
1730.0,2.414272106963596e-12,6.964991575242565e-13,3.057249962991665e-13
1740.0,7.806347646238965e-13,3.132225438222175e-12,7.445008748731155e-13
1750.0,2.024970151406213e-12,2.1008829183745566e-12,1.0781944632094245e-12
1760.0,2.9592494850656548e-12,8.363943218334639e-13,1.2218151223333884e-12
1770.0,3.588481231960256e-12,1.0764346985039925e-12,1.4815112995579105e-12
1780.0,4.482635966895928e-12,5.529149331391832e-13,1.2740532446865075e-12
1790.0,6.55666946583082e-12,1.5439282182401242e-12,9.751517350503197e-13
1800.0,882.0850715390957,122.42779762510686,1.0375072273708756e-12
1810.0,3.0292042291848457e-12,1.0206605233324068e-12,2.065007514530282e-13
1820.0,3.7801779004240195e-12,4.966746687000634e-13,9.479935002724737e-13
1830.0,1.6985918571010517e-12,1.0624368567767982e-12,8.640020965349814e-13
1840.0,2.1188026184487806e-12,1.1393721287853698e-12,3.1742411016439005e-12
1850.0,1.6696365023543745e-12,1.4605008123413725e-12,6.223691102506955e-13
1860.0,2.8408091553746353e-12,2.2701976545984364e-12,8.384426730038729e-13
1870.0,3.1916929180639982e-12,1.3184813858857472e-12,1.7031652499000907e-12
1880.0,4.134017903412124e-12,1.5366258688352355e-12,3.1645272583648907e-12
1890.0,7.2151273577478044e-12,3.383429452012584e-12,6.65215284132204e-12
1900.0,1441.812019392184,756.1353623784893,1249.9999999999998
1910.0,7.85969487702756e-12,5.494321850443517e-12,5.660406446925216e-12
1920.0,3.746337561804039e-12,2.330687316124261e-12,2.896193637320381e-12
1930.0,1.1154347549357863e-12,2.4954313775506417e-12,2.4994963295257773e-12
1940.0,7.097454844810179e-13,4.211894739880163e-12,1.3887396348671915e-12
1950.0,2.706378710286643e-12,3.421731963536638e-12,1.4412963090082677e-12
1960.0,3.805697656448957e-12,2.2759548107269777e-12,1.2645048881857965e-12
